Entry,Entry name,Status,Protein names,Gene names,Organism,Virus hosts,Pathway
A0A3R5SMJ6,A0A3R5SMJ6_WNV,unreviewed,Genome polyprotein,,West Nile virus (WNV),Aedes [TaxID: 7158]; Amblyomma variegatum (Tropical bont tick) [TaxID: 34610]; Aves [TaxID: 8782]; Culex [TaxID: 53527]; Homo sapiens (Human) [TaxID: 9606]; Hyalomma marginatum [TaxID: 34627]; Mansonia uniformis [TaxID: 308735]; Mimomyia [TaxID: 308737]; Rhipicephalus [TaxID: 34630],
M1UFP6,M1UFP6_9FLAV,unreviewed,Genome polyprotein,,Bovine viral diarrhea virus 1b,,
P11223,SPIKE_IBVB,reviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S 2,Avian infectious bronchitis virus (strain Beaudette) (IBV),Gallus gallus (Chicken) [TaxID: 9031],
P11224,SPIKE_CVMA5,reviewed,Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2'],S 3,Murine coronavirus (strain A59) (MHV-A59) (Murine hepatitis virus),Mus musculus (Mouse) [TaxID: 10090],
P0C6X9,R1AB_CVMA5,reviewed,Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.69) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.-) (nsp16)],rep 1a-1b,Murine coronavirus (strain A59) (MHV-A59) (Murine hepatitis virus),Mus musculus (Mouse) [TaxID: 10090],
P0C6X8,R1AB_CVM2,reviewed,Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.69) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p35); 2'-O-methyltransferase (EC 2.1.1.-) (nsp16)],rep 1a-1b,Murine coronavirus (strain 2) (MHV-2) (Murine hepatitis virus),Mus musculus (Mouse) [TaxID: 10090],
P0C6Y0,R1AB_CVMJH,reviewed,Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Host translation inhibitor nsp1 (nsp1) (p28); Non-structural protein 2 (nsp2) (p65); Papain-like proteinase (PL-PRO) (EC 3.4.19.12) (EC 3.4.22.69) (Non-structural protein 3) (nsp3) (p210); Non-structural protein 4 (nsp4) (Peptide HD2) (p44); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p27); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p10); Non-structural protein 8 (nsp8) (p22); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p15); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p67); Guanine-N7 methyltransferase (ExoN) (EC 2.1.1.-) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p35); 2'-O-methyl transferase (EC 2.1.1.-) (nsp16)],rep 1a-1b,Murine coronavirus (strain JHM) (MHV-JHM) (Murine hepatitis virus),Mus musculus (Mouse) [TaxID: 10090],
P0C6Y4,R1AB_PEDV7,reviewed,Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (p9); Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL1-PRO/PL2-PRO) (PLP1/PLP2) (Papain-like proteinases 1/2) (p195); Non-structural protein 4 (nsp4) (Peptide HD2); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p34); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7) (p5); Non-structural protein 8 (nsp8) (p23); Non-structural protein 9 (nsp9) (p12); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p14); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p66) (p66-HEL); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp16)],rep 1a-1b,Porcine epidemic diarrhea virus (strain CV777) (PEDV),Sus scrofa (Pig) [TaxID: 9823],
P0C6Y1,R1AB_IBVB,reviewed,Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.22.-) (Papain-like proteinase) (PL-PRO) (p195); Non-structural protein 4 (nsp4) (Peptide HD2) (p41); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p33); Non-structural protein 6 (nsp6) (p34); Non-structural protein 7 (nsp7) (p9); Non-structural protein 8 (nsp8) (p24); Non-structural protein 9 (nsp9) (p10); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p16); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p68); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14) (p58); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p39); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp16) (p35)],rep 1a-1b,Avian infectious bronchitis virus (strain Beaudette) (IBV),Gallus gallus (Chicken) [TaxID: 9031],
P0C6Y3,R1AB_IBVM,reviewed,Replicase polyprotein 1ab (pp1ab) (ORF1ab polyprotein) [Cleaved into: Non-structural protein 2 (nsp2) (p87); Non-structural protein 3 (nsp3) (EC 3.4.22.-) (Papain-like proteinase) (PL-PRO) (p195); Non-structural protein 4 (nsp4) (Peptide HD2) (p41); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.-) (M-PRO) (nsp5) (p33); Non-structural protein 6 (nsp6) (p34); Non-structural protein 7 (nsp7) (p9); Non-structural protein 8 (nsp8) (p24); Non-structural protein 9 (nsp9) (p10); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL) (p16); RNA-directed RNA polymerase (Pol) (RdRp) (EC 2.7.7.48) (nsp12) (p100); Helicase (Hel) (EC 3.6.4.12) (EC 3.6.4.13) (nsp13) (p68); Exoribonuclease (ExoN) (EC 3.1.13.-) (nsp14) (p58); Uridylate-specific endoribonuclease (EC 3.1.-.-) (NendoU) (nsp15) (p39); Putative 2'-O-methyl transferase (EC 2.1.1.-) (nsp16) (p35)],rep 1a-1b,Avian infectious bronchitis virus (strain M41) (IBV),Gallus gallus (Chicken) [TaxID: 9031],
